InstanceID,improvement,y_sol(keuro)_baseline,y_memAvg(MB)_baseline,y_time(sec)_baseline,y_sol(keuro),y_memAvg(MB),y_time(sec),alg,conf
0.0,0.02,405.96,60.3,1.94,364.16,60.11749999999995,1.9087499999999409,A,1.0
0.0,0.05,405.96,60.3,1.94,364.16,60.11749999999995,1.9087499999999409,A,1.0
0.0,0.07,405.96,60.3,1.94,364.16,60.11749999999995,1.9087499999999409,A,1.0
0.0,0.1,405.96,60.3,1.94,364.16,60.117500000000035,1.9087499999999409,A,1.0
0.0,0.12,405.96,60.3,1.94,355.45,65.97842105263146,3.0894736842104753,A,2.0
0.0,0.15,405.96,60.3,1.94,332.0,83.16175675675676,7.583378378378379,C,4.0
0.0,0.17,405.96,60.3,1.94,332.0,83.1617567567568,7.583378378378363,C,4.0
0.0,0.2,405.96,60.3,1.94,323.02,87.08172839506175,30.21839506172839,C,38.0
0.0,0.22,405.96,60.3,1.94,296.19,88.3555681818182,59.4706818181818,C,90.0
0.0,0.25,405.96,60.3,1.94,296.19,88.3555681818182,59.470681818181816,C,90.0
1.0,0.02,400.7,60.07,1.46,360.44000000000017,60.11749999999995,1.9087499999999409,A,1.0
1.0,0.05,400.7,60.07,1.46,360.44,60.11749999999995,1.9087499999999409,A,1.0
1.0,0.07,400.7,60.07,1.46,360.44000000000017,60.11749999999995,1.9087499999999409,A,1.0
1.0,0.1,400.7,60.07,1.46,360.44000000000017,60.117500000000035,1.9087499999999409,A,1.0
1.0,0.12,400.7,60.07,1.46,351.73,65.9784210526316,3.0894736842104753,A,2.0
1.0,0.15,400.7,60.07,1.46,335.91,83.71837499999997,10.650250000000002,C,9.0
1.0,0.17,400.7,60.07,1.46,293.06,84.1716666666667,13.078076923076908,C,13.0
1.0,0.2,400.7,60.07,1.46,293.06,84.1716666666667,13.078076923076908,C,13.0
1.0,0.22,400.7,60.07,1.46,293.06,84.1716666666667,13.078076923076908,C,13.0
1.0,0.25,400.7,60.07,1.46,293.06,84.1716666666667,13.078076923076924,C,13.0
1.0,0.27,400.7,60.07,1.46,290.73124999999993,84.37950617283957,14.257037037037033,C,15.0
2.0,0.02,410.42,60.33,1.85,369.57,60.117500000000035,1.9087499999999409,A,1.0
2.0,0.05,410.42,60.33,1.85,369.57000000000016,60.11749999999995,1.9087499999999409,A,1.0
2.0,0.07,410.42,60.33,1.85,369.57,60.11749999999995,1.9087499999999409,A,1.0
2.0,0.1,410.42,60.33,1.85,360.85,65.9784210526316,3.0894736842104753,A,2.0
2.0,0.12,410.42,60.33,1.85,360.85,65.9784210526316,3.0894736842104753,A,2.0
2.0,0.15,410.42,60.33,1.85,348.24,83.50958904109591,9.451095890410947,C,7.0
2.0,0.17,410.42,60.33,1.85,304.6833333333332,84.1716666666667,13.078076923076924,C,13.0
2.0,0.2,410.42,60.33,1.85,304.6833333333332,84.1716666666667,13.078076923076908,C,13.0
2.0,0.22,410.42,60.33,1.85,304.6833333333332,84.1716666666667,13.078076923076924,C,13.0
2.0,0.25,410.42,60.33,1.85,304.6833333333332,84.1716666666667,13.078076923076908,C,13.0
2.0,0.27,410.42,60.33,1.85,295.16,85.12773333333334,19.0632,C,23.0
3.0,0.02,418.39,59.98,1.85,375.84000000000015,60.11749999999995,1.9087499999999409,A,1.0
3.0,0.05,418.39,59.98,1.85,375.84,60.11749999999995,1.9087499999999409,A,1.0
3.0,0.07,418.39,59.98,1.85,375.84,60.11749999999995,1.9087499999999409,A,1.0
3.0,0.1,418.39,59.98,1.85,375.84,60.11749999999995,1.9087499999999409,A,1.0
3.0,0.12,418.39,59.98,1.85,367.12,65.97842105263146,3.0894736842104753,A,2.0
3.0,0.15,418.39,59.98,1.85,348.41,86.35628205128204,24.03410256410255,C,31.0
3.0,0.17,418.39,59.98,1.85,337.6,167.45743589743591,54.929487179487154,A,31.0
4.0,0.02,412.99,60.04,1.57,372.01000000000016,60.117500000000035,1.9087499999999409,A,1.0
4.0,0.05,412.99,60.04,1.57,372.01000000000016,60.11749999999995,1.9087499999999409,A,1.0
4.0,0.07,412.99,60.04,1.57,372.01,60.11749999999995,1.9087499999999409,A,1.0
4.0,0.1,412.99,60.04,1.57,363.3,65.97842105263146,3.0894736842104753,A,2.0
4.0,0.12,412.99,60.04,1.57,363.04,72.07368421052631,4.321052631578946,A,3.0
4.0,0.15,412.99,60.04,1.57,333.65,83.06407894736847,7.121710526315792,C,3.0
4.0,0.17,412.99,60.04,1.57,333.65,83.06407894736851,7.1217105263157805,C,3.0
4.0,0.2,412.99,60.04,1.57,329.025,83.27843373493981,8.205421686746991,C,5.0
4.0,0.22,412.99,60.04,1.57,296.59,88.3555681818182,59.470681818181816,C,90.0
4.0,0.25,412.99,60.04,1.57,296.59,88.3555681818182,59.4706818181818,C,90.0
4.0,0.27,412.99,60.04,1.57,296.59,88.3555681818182,59.4706818181818,C,90.0
5.0,0.02,423.01,60.33,2.21,381.42000000000013,60.11749999999995,1.9087499999999409,A,1.0
5.0,0.05,423.01,60.33,2.21,381.42,60.117500000000035,1.9087499999999409,A,1.0
5.0,0.07,423.01,60.33,2.21,381.42,60.11749999999995,1.9087499999999409,A,1.0
5.0,0.1,423.01,60.33,2.21,372.71,65.97842105263146,3.0894736842104753,A,2.0
5.0,0.12,423.01,60.33,2.21,370.29,78.08094594594596,5.554054054054055,A,4.0
5.0,0.15,423.01,60.33,2.21,345.92999999999995,83.27843373493981,8.205421686746973,C,5.0
5.0,0.17,423.01,60.33,2.21,345.92999999999995,83.27843373493981,8.205421686746991,C,5.0
5.0,0.2,423.01,60.33,2.21,329.7975,83.38345679012345,8.837037037037033,C,6.0
5.0,0.22,423.01,60.33,2.21,323.725,83.95182926829261,11.849756097560974,C,11.0
5.0,0.25,423.01,60.33,2.21,316.3,84.37950617283957,14.257037037037025,C,15.0
5.0,0.27,423.01,60.33,2.21,300.27,88.3555681818182,59.4706818181818,C,90.0
9.0,0.02,414.26,60.27,3.34,371.95,60.117500000000035,1.9087499999999409,A,1.0
9.0,0.05,414.26,60.27,3.34,371.95,60.117500000000035,1.9087499999999409,A,1.0
9.0,0.07,414.26,60.27,3.34,371.95,60.117500000000035,1.9087499999999409,A,1.0
9.0,0.1,414.26,60.27,3.34,371.95,60.11749999999995,1.9087499999999409,A,1.0
9.0,0.12,414.26,60.27,3.34,363.24,65.9784210526316,3.0894736842104753,A,2.0
9.0,0.15,414.26,60.27,3.34,351.87000000000006,149.60631578947374,39.126315789473686,A,24.0
9.0,0.17,414.26,60.27,3.34,333.72,167.45743589743591,54.929487179487154,A,31.0
