time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables
no,no,88.94467532467533,65.04909090909094,296.5314285714285,100.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,20.818885087966922,0.3068797588348389,6595,753
no,no,84.17166666666667,13.078076923076924,293.7309677419354,13.000000000000002,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,20.818885087966922,0.3400137424468994,6595,753
no,no,88.94467532467533,65.04909090909094,307.328947368421,100.0,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,20.818885087966922,0.28349852561950684,6595,753
no,no,88.94467532467533,65.04909090909094,347.7529577464788,100.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,20.818885087966922,0.3120121955871582,6595,753
no,no,88.94467532467533,65.04909090909094,297.83749999999986,100.0,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,20.818885087966922,0.32511115074157715,6595,753
no,no,88.94467532467533,65.04909090909094,300.26999999999987,100.0,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,20.818885087966922,0.2622613906860352,6595,753
no,no,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,20.818885087966922,0.15807700157165527,6595,753
no,no,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,20.818885087966922,0.17165517807006836,6595,753
no,no,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,20.818885087966922,0.17531418800354004,6595,753
no,no,88.94467532467533,65.04909090909094,326.8413157894736,100.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,20.818885087966922,0.3467681407928467,6595,753
no,no,88.94467532467533,65.04909090909094,293.94833333333327,100.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,20.818885087966922,0.2921733856201172,6595,753
no,no,88.94467532467533,65.04909090909094,296.5314285714285,100.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,20.818885087966922,0.3283119201660156,6595,753
no,no,88.94467532467533,65.04909090909094,296.5314285714285,100.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,20.818885087966922,0.3108730316162109,6595,753
no,no,84.17166666666667,13.078076923076924,293.7309677419354,13.000000000000002,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,20.818885087966922,0.3143310546875,6595,753
no,no,88.94467532467533,65.04909090909094,307.328947368421,100.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,20.818885087966922,0.3096263408660889,6595,753
no,no,88.94467532467533,65.04909090909094,361.20999999999987,100.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,20.818885087966922,0.28850626945495605,6595,753
no,no,88.35556818181819,59.470681818181816,303.57,90.00000000000001,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,20.818885087966922,0.32950663566589355,6595,753
no,no,84.17166666666667,13.078076923076924,332.7401351351351,13.000000000000002,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,20.818885087966922,0.2837255001068115,6595,753
